"n","iteration","INNE_L","INNE_U","IEIN_L","IEIN_U","INNT_L","INNT_U","DNNE_L","DNNE_U","DEIN_L","DEIN_U","DNNT_L","DNNT_U","NNE_L","NNE_U","EIN_L","EIN_U","NNT_L","NNT_U"
200,1,1.6986462422342,9.52695317930245,1.68976236161466,9.35988380752976,1.69506851815622,9.42166267696135,1.12292738549846,6.1442479065335,1.1035760121342,6.14136620218558,1.11109697936078,6.14238884556511,1.64139816883742,2.76996789266461,1.63144797677594,2.74438417129755,1.63573715937261,2.75370756277294
200,2,1.51488280036853,25.7728884437949,1.58571867614748,24.2882756233134,1.58340128969289,24.8381523246919,1.44287260897598,2.64195088317046,1.43060353645161,2.62802321980401,1.43584783710503,2.6332171887019,1.40963771608002,2.14332721925771,1.40390606079907,2.10440299631901,1.40722173721397,2.11881428744845
200,3,1,33.7961643222015,1,30.9922358428172,1,31.939537694812,1.53691573665075,3.46593099781631,1.49501919756571,3.39335779084153,1.51113462420527,3.41841165005365,1.60606775486007,2.70890378349205,1.57541830828589,2.60781890050249,1.5886838236332,2.64169375946656
200,4,1.27544485350853,27.40979709635,1.65629265277063,23.8444822620329,1.56465748520792,25.0284347132936,1.61630657272027,3.68066574924463,1.55071138956551,3.58288204443465,1.57564388670133,3.61721153136963,1.62233600144998,2.84897159074413,1.56796062018699,2.70536433220424,1.58985858391197,2.75464246958455
200,5,1.11832224830848,16.410705185183,1.19118252717309,15.594394514329,1.17587935396702,15.8443051372228,1.39955960666028,3.15575689228194,1.37326783417633,3.13178359380975,1.38196653545123,3.1392989277273,1.46091852605022,2.15477719588251,1.44179014898398,2.11000203644466,1.44883179500686,2.12347984047537
200,6,1,9.58304454638,1,7.57151955299366,1,8.88138245846232,Inf,Inf,Inf,Inf,Inf,Inf,1.32025640879283,10.4493977237869,4.03165723413582,7.71342699550713,3.29121519611535,8.24109918210843
200,7,2.01757634684509,7.02785648631296,2.01051418587726,6.91385058629373,2.01440307367166,6.95679071954834,1.20367863267447,6.16671667451451,1.19512863435783,6.1710203047591,1.19847473341451,6.16932970709833,1.54180637612536,2.51942130821797,1.53575085792703,2.49961605952447,1.53840094282804,2.50701240019589
200,8,1.06574523042646,11.2674133370136,1.1652143550664,10.2675773652586,1.14148442495919,10.6042895270976,1.10561250837114,5.73034879448022,1.03102777852889,5.7004472375749,1.05836641952013,5.71087385790004,1.61697161143749,2.78119561164606,1.57799384345969,2.65887147824807,1.59449172163652,2.69985907606648
200,9,2.05622766783228,7.54890435094315,2.07011200041394,7.38866033623934,2.06947222869932,7.43855934154871,1.02064886796091,6.8352268257681,1.01491994587772,6.78521578799029,1.01700533962188,6.80199301736838,1.58560158121542,2.73583990737153,1.5818325951237,2.69304434372254,1.58395284265524,2.70664303774444
200,10,1,8.24129841625682,1,4.2732145290942,1,6.43188759110071,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,2.41643914691392
200,11,1,20.8475175136864,1,21.5288229552144,1,21.291432029116,1.39220347601324,3.69915104654452,1.41018213921553,3.70035049334029,1.40420528876844,3.69988660393563,1.52068664553855,2.54362471197739,1.53912569353176,2.55983146402802,1.53327362592513,2.55401158281993
200,12,2.12529818650289,7.19459434637591,2.13978020427494,7.04214423119571,2.1356663055335,7.10921263749804,1.28944713497428,6.03797090452707,1.28289473557198,6.02897221558778,1.28600394914929,6.03300829636644,1.55502387221582,2.54718521283168,1.54870096290154,2.52174034764999,1.55197983588385,2.53301332315947
200,13,1.57270889021129,12.1488274023244,1.57250075221835,12.0289301543328,1.57385460933091,12.0759647428512,1.38124363027485,3.56289842937521,1.37584717808305,3.56852454862118,1.37804260009294,3.56623610888353,1.44564913866918,2.18889461735847,1.44358072488761,2.18260530474714,1.44451426018474,2.18505201307026
200,14,1,32.3079574455951,1,31.7099419492022,1,31.8812783582551,1.35313365264365,2.41630653831936,1.34572231012724,2.39956033131474,1.34840057041232,2.40433772931947,1.39701106861945,1.94426341332648,1.39361776352381,1.92342397835692,1.39573881696152,1.9287773969159
200,15,1.74041240722088,3.84196817296342,1.75013834012746,3.80598587762742,1.74310021646111,3.81283807131825,Inf,Inf,Inf,Inf,Inf,Inf,1.47157553689496,3.60973172431327,1.45831309245193,3.57998308429073,1.36277840465959,3.48885402201712
200,16,2.00041477038928,11.8596876773684,1.95873675831796,11.53336986469,1.98625707913278,11.6506777688338,1.39653030053333,3.83007061143238,1.38395708933929,3.80107332837051,1.38910646495827,3.81247254438069,1.46432554347835,2.3310508881988,1.46467997105238,2.28091460712775,1.46570014644614,2.29964963595014
200,17,2.42559426202034,7.30503197470631,2.44418089008458,7.02375235023473,2.44098156724768,7.1316144997634,1,11.43675722182,1,11.4762249907482,1,11.4599096073841,1.73113370925174,3.55997463148843,1.70978377337166,3.50388666931715,1.71921201358252,3.52554604260219
200,18,2.03426574444163,5.65208133166275,2.02468888091734,5.6193990559419,2.02978358064258,5.63094107223489,1,12.5457840079738,1,12.4342543397121,1,12.4778958601898,1.68227978265302,3.00879901876351,1.67899403964408,2.98174883309402,1.68074331317029,2.99193525061155
200,19,1.1037314045159,3.53664091265111,1,3.10015725222748,1.05263924600758,3.25406342660592,Inf,Inf,Inf,Inf,Inf,Inf,1,2.34882998360325,1,1.98211866342154,1,2.29112200572151
200,20,1.61327789639464,16.0073431550177,1.55512517896337,16.2837839711272,1.58220738931752,16.1774977636423,1.47310956939427,3.91736120740047,1.49140446943123,3.90909165250463,1.48504415328444,3.91183855137188,1.58261307938569,2.54511121794351,1.60148971172914,2.54401050899013,1.59557665915407,2.54350661898256
200,21,2.32707750454474,10.656722644892,2.35235589212993,10.6950662207622,2.34659573209653,10.6791250719293,1.45785688937604,4.48740324237934,1.46218691690081,4.45626166863235,1.46077821283522,4.46675912387759,1.5389434425909,2.53902282940276,1.54049513036161,2.53105519162793,1.5401772151119,2.53355226349484
200,22,2.18511951309821,6.71083828725893,2.18671162846329,6.58852325833168,2.18734988602148,6.63156726295954,1,9.51792671983952,1,9.54779906849893,1,9.53679005743797,1.65304737875534,3.05838660693144,1.64525374755096,3.0348475761924,1.64826342350222,3.04322590867798
200,23,1.82383151935844,8.81220012207398,2.20641555531319,7.16588926888592,1.96607125340277,8.03717867358045,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
200,24,2.25163676967112,12.6390679820814,2.27363975918226,12.118869453022,2.27047423200223,12.287638119741,1.39734904266881,5.91830140424365,1.36932258091613,5.8983647110807,1.37896615668044,5.90495788598333,1.70699822947082,3.1985880271535,1.68437107055703,3.14477516000776,1.69269735968016,3.16216977175429
200,25,2.30051928167592,12.147643054908,2.2444490002364,12.5031486135988,2.26562733918596,12.3878264072883,1.35912914430442,3.08217932825135,1.35940015777417,3.06370797926324,1.35936744683997,3.06936682032223,1.36179218565673,2.0352720544339,1.36673414902768,2.03586457926909,1.36526172480997,2.0356193844643
200,26,1.29106604934419,4.12821546485769,1.37966596710079,3.52747396441363,1.82553696142455,4.15738084479281,Inf,Inf,Inf,Inf,Inf,Inf,1.21020208903634,2.02745529753127,Inf,Inf,2.08891623144365,2.77161455281416
200,27,2.35450782327748,9.86290818032968,2.31045002698437,9.0633038942524,2.34068552506284,9.38947504920344,1.44573805255023,4.89747359359753,1.40031892894327,4.94119555234572,1.42070366940462,4.92155745252207,1.55652369263014,2.6188553377733,1.52913058146502,2.54231917358678,1.54200319665344,2.57453096875938
200,28,2.05697577590671,4.16067431855416,1.95165840838797,3.55318776041877,2.15363264128848,3.93927441000329,Inf,Inf,Inf,Inf,Inf,Inf,2.31386456371154,3.59033755505095,2.453492029339,3.33651057593727,2.66633906152316,3.6722636530208
200,29,1.05943509397446,11.3223475142858,1.09651336289779,10.3721287286402,1.09309763894017,10.7106924639349,1.1226242332733,5.60228854710975,1.03345346188876,5.59288275653691,1.06791726659113,5.59602685214317,1.62626364507661,2.73170650144764,1.58352140628598,2.61626690866386,1.60227694319251,2.65703265522699
200,30,1,19.0976530828594,1.29044282861369,4.77756405883925,1,6.19765403480245,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,1,2.3648991743877,Inf,Inf
200,31,1.34798838191396,4.83703860505093,1.66360046003518,3.65213932783056,1.645592918015,4.08039020438869,Inf,Inf,Inf,Inf,Inf,Inf,1.84333998383799,3.54769125009629,2.30752691909496,3.3407960699413,1.96308075105285,3.22581362689879
200,32,1.97200821971345,8.26274809840368,1.9740571146454,8.23183992887796,1.9746424804282,8.24032766020047,1.18524525801908,5.63741862767814,1.18008597632645,5.65653653676684,1.18172247816015,5.65049690911965,1.53268297723856,2.56103702698446,1.53325926992894,2.56084578659266,1.53326097651364,2.56072278071896
200,33,1.71663095120554,3.70406977616282,1.71484521335829,3.20347043632773,1.71453024181187,3.3726938938674,Inf,Inf,Inf,Inf,Inf,Inf,5.3232818525098,7.31721829757419,5.58009636777916,7.1284293488555,5.43810687908151,7.06501982800466
200,34,1.64394543838469,3.59476193240466,1.54404963778399,3.16783943906263,1.6539750774574,3.39375945022539,Inf,Inf,Inf,Inf,Inf,Inf,1,2.36395345074362,1.0320981950226,2.22682851265091,2.05248767190981,3.27733652202714
200,35,1.48941060057215,13.3276763240059,1.55055657402329,12.4093169893266,1.5389859980296,12.7304616031354,1.41095202091941,4.50501333464126,1.35446979097013,4.46844383543251,1.37603382809421,4.48142912947774,1.59289986332999,2.63500501684553,1.55816639179234,2.55081669614145,1.57313826421886,2.57964815100935
200,36,1.33257032401591,12.2660295626105,1.34273767371821,11.932627908964,1.34288441136336,12.0518770957602,1.35042288270173,3.55465120327711,1.33666931893215,3.55619584277247,1.34187141309609,3.55556496625335,1.45034687200831,2.15445831469365,1.44336435440758,2.13180896226062,1.44634115405648,2.13988684898822
200,37,2.26285756129138,9.79151992991651,2.28133903909969,9.62057303578918,2.27890901987083,9.67364754139271,1.35337517296217,5.3191470098237,1.34244478756897,5.28278729846541,1.34613015654712,5.2948692692452,1.58934268688489,2.70571429583811,1.58081479728168,2.67526099500264,1.58416188981903,2.68489354611374
200,38,2.03310586798556,10.5331428424245,2.02323068583978,10.2097064021531,2.03186475679693,10.2975460788024,1.2371505376706,5.51449056641524,1.2141623160022,5.48557000104144,1.22099686037173,5.49396535915288,1.60067599356203,2.7912530490894,1.59097511845404,2.73791280474448,1.59482973933182,2.75246632076443
200,39,1.6074296851168,5.39655377864724,2.04683020484859,3.98274062149635,2.0599801670151,4.48453202375622,Inf,Inf,1,10.137420584628,Inf,Inf,Inf,Inf,Inf,Inf,1.38513150651074,2.71796630357738
200,40,1.18589980493088,5.13984236263853,1.66464286971624,4.00222687623219,1.54406301935839,4.38353123018087,Inf,Inf,Inf,Inf,Inf,Inf,2.66886943302509,4.51033511454087,3.37784883542875,4.23587238385395,3.32172407574679,4.33780483934689
200,41,1,120.370851715452,1,113.065530717363,1,115.791335295478,1.5116973433298,2.86428773756496,1.50462628624402,2.83801853062399,1.50789594391399,2.84769096525894,1.55279238260823,2.57592160232568,1.54796761603682,2.53800166730751,1.55065659604579,2.55187741451047
200,42,1.83932185454889,5.71900173881174,1.87567495539222,5.45462424648322,1.86520371358529,5.5478428732049,1,10.37147834464,1,10.4814488272514,1,10.4402319468306,1.62951968372394,2.7395484610062,1.6053626977894,2.69874914284065,1.6148686882754,2.71305062904622
200,43,2.23351232417146,16.6244711483774,2.16111652592808,16.3226190845367,2.19214178276767,16.4208790795483,1.51648219820581,4.0513006491748,1.50894725174521,4.04729477670872,1.51167515562557,4.04860071332838,1.58847339126856,2.71014944575486,1.58863975519531,2.68341532672934,1.58908829436393,2.69222806474057
200,44,1,32.0949152525025,1,28.1975372543451,1,29.4258537540804,1.4298083514857,2.84918818195361,1.38275238448364,2.78042237175283,1.39992002123576,2.80307232158472,1.47087931404957,2.26980998106267,1.43672745903792,2.1594706874605,1.45072983370553,2.19475308097883
200,45,2.09323165936528,9.03768144014682,2.09632034574082,8.54567813249788,2.10038407775282,8.69813824388296,1.13751186021215,6.48007619354971,1.09582541266407,6.49308092001653,1.10979987917122,6.48854751465718,1.62999446253056,2.892538296779,1.61088355256628,2.81901888403539,1.61834713822667,2.84170096823182
200,46,1.75678772916101,14.240409977742,1.78915177200265,14.4693763977984,1.7811839651772,14.3796627852538,1.41779674305951,5.20445897043016,1.43090562879507,5.16760839711342,1.42613026124853,5.18114832188952,1.65311291787874,3.03035718838196,1.66232034179327,3.03129334870684,1.65923045535519,3.03062499203646
200,47,2.59074369728243,6.80027145829206,2.59905416743067,6.56933462721933,2.59791591681815,6.65713714209417,1.25436752601057,8.23192188884147,1.24405323310329,8.31791520778627,1.24829094902723,8.28364044944164,1.66403969095269,3.0551662387253,1.65426813159725,3.02625361210491,1.65855031120961,3.03717566050837
200,48,2.15874993375677,11.2301477393933,2.24868715644025,10.8818685328246,2.22703061636661,10.9876687321247,1.50547873040515,4.8039709877156,1.4924774231228,4.79588058802214,1.49704362508591,4.79825904305666,1.61330804766715,2.67520280920011,1.59922161097882,2.65279970871168,1.60510430391926,2.65888972316144
200,49,1.09309594883855,6.58808415284328,2.15208016746557,5.92888184289159,1.89845606813134,6.28979893900317,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,2.24025207796772,2.98686012300628,Inf,Inf
200,50,1.07709633354931,8.08046595994521,1.07662866721095,8.02120808806927,1.07720660508753,8.04174331677294,1.03400998947067,4.69483181348636,1.03227105711999,4.68874067244483,1.03291045288295,4.69087850105671,1.42257702456072,2.10159344268193,1.42006256869346,2.09227719534782,1.42113723429698,2.09539332458616
200,51,2.03914033158576,5.44117691607629,2.03196609217148,5.44246436410683,2.0347962397904,5.44169353923215,1,11.4780773803084,1,11.4777375509034,1,11.4778560498047,1.62005546570895,2.87425082133295,1.62112123780958,2.87101201715358,1.62086720559235,2.87202637152706
200,52,1,11.6601159576798,Inf,Inf,Inf,Inf,1.32092871485952,3.5680989319398,1.36818006297667,3.85789524726389,1.36190005140735,3.80474781641815,1.12243782979698,2.08240361256951,1,2.68266751898473,1,2.66001797081614
200,53,2.21202231557038,10.0401631668319,2.20344226473387,9.78390840768184,2.21015863299194,9.87515245240176,1.41247661900897,4.6154365925937,1.39679133281531,4.62040348884332,1.40268846524092,4.61852128279375,1.53413966807477,2.50605245430578,1.525802253369,2.4804207537571,1.52929140955578,2.48960286529954
200,54,2.08125632156621,13.4971088522043,2.16803293554742,12.5869554693216,2.15355867316703,12.8876241907918,1.45220684820753,4.87931326027966,1.4264961016467,4.80064153203967,1.43587446827069,4.82844200148037,1.63010651023642,2.8717304954807,1.60546614110367,2.77356310552404,1.61595214627421,2.80650836792393
200,55,2.02460225787078,10.0349110308979,2.07127860699566,9.92362105966798,2.05868425178766,9.95907383009939,1.33264402250077,5.17843480182682,1.32548479231092,5.1375823849164,1.3281360443724,5.15189399076103,1.55804828781655,2.67016593001761,1.54851994969031,2.65150072351854,1.55223943955604,2.65774679409178
200,56,2.37160177994194,9.75957535984496,2.31452986977649,9.40784285697237,2.34152185340112,9.53290878535748,1.19518922382314,6.7301221005968,1.15572305923835,6.67234043618359,1.17071924683443,6.69401596907289,1.68367505041917,3.10995349208854,1.66020047055663,3.03347884070089,1.67003859358195,3.06112651750361
200,57,1,29.1997396667938,1,28.7944864366752,1,28.9496947155313,1.51102627136952,3.06851559950246,1.5061864664758,3.05657780365958,1.50820172296216,3.06117498926307,1.54292884324989,2.40461005170693,1.53968451941017,2.38855354672422,1.54125216367405,2.39458713457916
200,58,1.72710151670083,18.6690661526486,1.73177435967255,18.3275231335335,1.73407400978832,18.4401791945855,1.52828585290959,4.7999215795516,1.51958502684015,4.77963663799439,1.52270086304983,4.78649084219316,1.69733168612283,3.13238572906788,1.69211973359835,3.10169894010464,1.69437779003022,3.11176549726922
200,59,1.53712530701117,3.21412346942552,1.41696770314566,2.93630617922216,1.48506535807025,3.05780831357245,Inf,Inf,Inf,Inf,Inf,Inf,1,2.02215678728916,Inf,Inf,1,2.02634967547189
200,60,2.2121647553438,10.0467708579497,2.21112947872526,9.83524258631926,2.21547152684166,9.91609432252428,1.22820538008643,6.4550429454285,1.21291533015309,6.45049150788827,1.21910207646035,6.45232820367875,1.67671337748995,3.04636243067856,1.6699794869943,3.01379959093884,1.67321051057414,3.02640468874959
200,61,2.03948695799338,15.7398730170125,2.01106377109335,15.7168013137022,2.03076600155703,15.7153455833421,1.50844983660505,5.10807685236348,1.51985306558073,5.06756367018446,1.5163164454435,5.08140495263188,1.69435980459163,3.12766660535901,1.71286970125695,3.08990560733667,1.70785231730845,3.10173950903349
200,62,1.62930657370462,9.02608001626936,1.61946586261138,8.33953228017974,1.63005904451451,8.56207849432799,1,6.41854784635015,1,6.39352560698949,1,6.40190449272772,1.64016668078516,2.73226647376892,1.59933169496995,2.6202905724777,1.6156576104238,2.65621844829203
200,63,1.85157216064402,11.1871853162535,1.82692218999202,10.8818322688087,1.84019254564293,10.990336746694,1.38976787063972,4.15837095044451,1.36725562730983,4.13913746047631,1.37583350860078,4.14614040215875,1.52257037274896,2.36946385266823,1.50635674593941,2.33546762177357,1.51329282175229,2.34720769031261
200,64,1,28.7282163960204,1,26.1792829521527,1,27.0673670093385,1.58591108813512,3.68849129622068,1.53216578949495,3.60894753058453,1.5529082176154,3.63739149422152,1.65801204016506,2.77191593402886,1.61534416116458,2.66321720084248,1.63307760147959,2.70101830460056
200,65,2.20759277443641,12.5740704896932,2.25371025129148,11.11557476026,2.25666458336878,11.671570606754,1.5314327885564,4.17003792877604,1.46743936003707,4.18881819193144,1.49488761241265,4.18027183572177,1.55910710274684,2.55536191995682,1.51570122945926,2.45896173003692,1.53538913514128,2.49681839800855
200,66,2.02892568865591,12.4319498565669,2.046352325874,12.089954180373,2.04336320201864,12.2193916095351,1.47021706296619,3.70971647411223,1.45895596238278,3.71984347649148,1.46346489246841,3.7157824558538,1.49578463453444,2.31802842674738,1.48674120876193,2.30350961410868,1.49058252559894,2.30894050860633
200,67,1,26.4768671663117,1,24.1901000968035,1,25.02300746988,1.46075982773294,3.66555072932037,1.4345904654276,3.61871224247029,1.44507851304993,3.63644851490321,1.57149242004599,2.66604392402536,1.55024006470697,2.57822446765138,1.55965306961765,2.61067480505167
200,68,1.57499651347592,22.2736307585971,1.60974323849973,20.7803858449989,1.61464630242548,21.258074008299,1.46970875124285,3.03539613680991,1.44146611462802,3.0103974456672,1.45143122765038,3.01865782380545,1.47662475727588,2.31266713179998,1.45812943753836,2.25537280134348,1.46537705695936,2.27392768255747
200,69,2.09777085547407,7.18130945149221,2.09111684899381,6.79702700706279,2.09778579618679,6.9253118994522,1.0489248899853,6.99835030318296,1.01282414157075,7.05415934067079,1.02584328950349,7.03413270781446,1.57665280490258,2.73304248959578,1.55482847905507,2.67401087107603,1.5632434218788,2.69395011106064
200,70,1.81472156694814,7.49038284645452,1.81055006465775,7.448825127435,1.81302346344844,7.46299071332693,1,9.58425274474362,1,9.54784229938617,1,9.56102911625383,1.67096141770443,3.1003903511681,1.67124054597646,3.08043328030098,1.67138972464382,3.08744771253928
