"n","iteration","INNE","IEIN","INNT","DNNE","DEIN","DNNT","NNE","EIN","NNT"
200,1,5.61279971076833,5.52482308457221,5.55836559755878,3.63358764601598,3.62247110715989,3.62674291246294,2.20568303075101,2.18791607403674,2.19472236107277
200,2,13.6438856220817,12.9369971497304,13.2107768071924,2.04241174607322,2.02931337812781,2.03453251290347,1.77648246766886,1.75415452855904,1.76301801233121
200,3,15.6911757931373,14.5001325256262,14.913312273638,2.50142336723353,2.44418849420362,2.46477313712946,2.15748576917606,2.09161860439419,2.11518879154988
200,4,14.3426209749293,12.7503874574018,13.2965460992508,2.64848616098245,2.56679671700008,2.59642770903548,2.23565379609705,2.13666247619562,2.17225052674826
200,5,8.76451371674575,8.39278852075106,8.51009224559492,2.27765824947111,2.25252571399304,2.26063273158926,1.80784786096636,1.77589609271432,1.78615581774112
200,6,4.07419355598096,3.95284692864785,4.06588909879997,-39.8777233267074,-327.810643512162,-308.807229230953,5.88482706628988,5.87254211482148,5.76615718911189
200,7,4.52271641657902,4.46218238608549,4.48559689661,3.68519765359449,3.68307446955846,3.68390222025642,2.03061384217166,2.01768345872575,2.02270667151197
200,8,6.16657928372001,5.71639586016248,5.87288697602839,3.41798065142568,3.3657375080519,3.38462013871009,2.19908361154177,2.11843266085388,2.1471753988515
200,9,4.80256600938771,4.72938616832664,4.75401578512401,3.9279378468645,3.90006786693401,3.90949917849513,2.16072074429347,2.13743846942312,2.14529794019984
200,10,1.85553460383025,1.56484225494763,2.13342396872921,-1.86795494653093,-10.8355358536245,-7.50274496188719,0.422743133194792,0.0468039664763761,1.62279887144695
200,11,10.0739923658636,10.3540738328111,10.2585278125125,2.54567726127888,2.55526631627791,2.55204594635204,2.03215567875797,2.04947857877989,2.04364260437253
200,12,4.6599462664394,4.59096221773533,4.62243947151577,3.66370901975068,3.65593347557988,3.65950612275786,2.05110454252375,2.03522065527577,2.04249657952166
200,13,6.86076814626786,6.80071545327557,6.82490967609106,2.47207102982503,2.47218586335211,2.47213935448823,1.81727187801383,1.81309301481738,1.8147831366275
200,14,14.7077802542847,14.5049887452756,14.5672534603231,1.8847200954815,1.87264132072099,1.8763691498659,1.67063724097296,1.65852087094036,1.66225810693871
200,15,2.79119029009215,2.77806210887744,2.77796914388968,-246.381099226212,-260.416015227051,-260.055629864577,2.54065363060412,2.51914808837133,2.42581621333836
200,16,6.93005122387882,6.74605331150396,6.81846742398328,2.61330045598285,2.5925152088549,2.60078950466948,1.89768821583858,1.87279728909007,1.88267489119814
200,17,4.86531311836332,4.73396662015966,4.78629803350554,5.79857980618962,5.80155552636401,5.80034999178112,2.64555417037009,2.60683522134441,2.62237902809235
200,18,3.84317353805219,3.82204396842962,3.83036232643873,6.01903678083268,5.97100362256089,5.98988482782984,2.34553940070826,2.33037143636905,2.33633928189092
200,19,2.3201861585835,2.04927029657361,2.15335133630675,-12.2701470999336,-44.2229432831227,-18.877350960273,1.56083687284534,1.38568297246602,1.62145177527918
200,20,8.81031052570619,8.91945457504529,8.87985257647991,2.69523538839737,2.70024806096793,2.69844135232816,2.0638621486646,2.07275011035964,2.06954163906832
200,21,6.49190007471835,6.52371105644606,6.5128604020129,2.97263006587769,2.95922429276658,2.9637686683564,2.03898313599683,2.03577516099477,2.03686473930337
200,22,4.44797890017857,4.38761744339748,4.40945857449051,5.00806301650117,5.01436495019276,5.01206290724355,2.35571699284339,2.34005066187168,2.3457446660901
200,23,5.31801582071621,4.68615241209956,5.00162496349161,-48.3203341567333,-71.2651373633698,-270.045516121115,-2.48044897532113,-2.64128115703782,-4.72874835230791
200,24,7.44535237587626,7.19625460610215,7.27905617587163,3.65782522345623,3.63384364599841,3.64196202133189,2.45279312831216,2.41457311528239,2.42743356571722
200,25,7.22408116829197,7.3737988069176,7.32672687323713,2.22065423627788,2.21155406851871,2.2143671335811,1.69853212004532,1.70129936414839,1.70044055463713
200,26,2.70964075710094,2.45356996575721,2.99145890310868,-112.335034478287,-104.440553887571,-50.1615331916748,1.6188286932838,0.737763281090132,2.43026539212891
200,27,6.10870800180358,5.68687696061838,5.86508028713314,3.17160582307388,3.17075724064449,3.17113056096335,2.08768951520172,2.0357248775259,2.05826708270641
200,28,3.10882504723043,2.75242308440337,3.04645352564589,-27.1583978227808,-20.805456314614,-26.913625570545,2.95210105938125,2.89500130263813,3.16930135727198
200,29,6.19089130413013,5.73432104576902,5.90189505143754,3.36245639019152,3.31316810921283,3.33197205936715,2.17898507326213,2.09989415747492,2.12965479920975
200,30,5.1116352044062,3.03400344372647,3.16695840534144,-0.346860695057105,-15.5213222765389,-5.57842849233886,-52.3787652313232,1.09113439699911,-2.48420160906679
200,31,3.09251349348244,2.65786989393287,2.86299156120185,-29.874758180134,-37.3924306063382,-16.6403148418592,2.69551561696714,2.82416149451813,2.59444718897582
200,32,5.11737815905857,5.10294852176168,5.10748507031434,3.41133194284861,3.41831125654664,3.4161096936399,2.04686000211151,2.0470525282608,2.0469918786163
200,33,2.71035036368418,2.45915782484301,2.54361206783963,-9.67548940696224,-39.4137034667318,-22.5302700178545,6.32025007504199,6.35426285831733,6.25156335354308
200,34,2.61935368539467,2.35594453842331,2.5238672638414,-41.5298643665788,-110.881326706498,-199.965519716087,1.56323764897055,1.62946335383676,2.66491209696848
200,35,7.40854346228904,6.97993678167494,7.13472380058251,2.95798267778033,2.91145681320132,2.92873147878597,2.11395244008776,2.05449154396689,2.07639320761411
200,36,6.79929994331321,6.63768279134111,6.6973807535618,2.45253704298942,2.44643258085231,2.44871818967472,1.80240259335098,1.7875866583341,1.79311400152235
200,37,6.02718874560395,5.95095603744443,5.97627828063177,3.33626109139294,3.31261604301719,3.32049971289616,2.1475284913615,2.12803789614216,2.13452771796638
200,38,6.28312435520502,6.11646854399645,6.16470541779965,3.37582055204292,3.34986615852182,3.3574811097623,2.19596452132572,2.16444396159926,2.17364803004813
200,39,3.50199173188202,3.01478541317247,3.27225609538566,-46.393457368662,4.4132471226078,-758.689497769298,0.406990069499,-0.644774719675059,2.05154890504406
200,40,3.16287108378471,2.83343487297422,2.96379712476963,-7.92748139313934,-36.9793190549111,-21.5124403078443,3.58960227378298,3.80686060964135,3.82976445754684
200,41,36.533163593342,34.5648708440957,35.3067353277835,2.18799254044738,2.17132240843401,2.17779345458647,2.06435699246695,2.04298464167217,2.05126700527813
200,42,3.77916179668031,3.66514960093772,3.70652329339509,5.17720066197946,5.21290056167542,5.19963436208343,2.18453407236507,2.15205592031503,2.16395965866081
200,43,9.42899173627443,9.24186780523238,9.30651043115799,2.7838914236903,2.77812101422696,2.78013793447698,2.14931141851171,2.13602754096232,2.14065817955225
200,44,14.8673428412454,13.2030149816372,13.7414149495112,2.13949826671966,2.08158737811823,2.10149617141024,1.87034464755612,1.79809907324921,1.82274145734218
200,45,5.56545654975605,5.32099923911935,5.39926116081789,3.80879402688093,3.7944531663403,3.7991736969142,2.26126637965478,2.21495121830084,2.23002405322924
200,46,7.9985988534515,8.12926408490052,8.08042337521551,3.31112785674483,3.29925701295425,3.30363929156902,2.34173505313035,2.34680684525006,2.34492772369582
200,47,4.69550757778724,4.584194397325,4.62752652945616,4.74314470742602,4.78098422044478,4.76596569923444,2.359602964839,2.34026087185108,2.34786298585899
200,48,6.69444883657502,6.56527784463244,6.60734967424564,3.15472485906037,3.14417900557247,3.14765133407129,2.14425542843363,2.12601065984525,2.13199701354035
200,49,3.84059005084092,4.04048100517858,4.09412750356725,-21.4481901802522,-35.6374763059587,-20.8805594136495,0.561020632780996,2.613556100487,0.516067316798288
200,50,4.57878114674726,4.54891837764011,4.55947496093024,2.86442090147851,2.86050586478241,2.86189447696983,1.76208523362132,1.75616988202064,1.75826527944157
200,51,3.74015862383102,3.73721522813915,3.73824488951128,5.62938938916627,5.6292407074327,5.62929274514426,2.24715314352095,2.24606662748158,2.24644678855971
200,52,4.47130729741215,-72.4740626294488,-441.653070249933,2.44451382339966,2.61303765512028,2.58332393391275,1.60242072118324,1.66334225904165,1.75634566319479
200,53,6.12609274120112,5.99367533620786,6.04265554269685,3.01395660580134,3.00859741082931,3.01060487401733,2.02009606119028,2.00311150356305,2.00944713742766
200,54,7.78918258688523,7.3774942024345,7.5205914319794,3.16576005424359,3.11356881684319,3.13215823487553,2.25091850285856,2.18951462331386,2.21123025709907
200,55,6.02975664438434,5.99744983333182,6.00887904094352,3.25553941216379,3.23153358861366,3.24001501756671,2.11410710891708,2.10001033660442,2.10499311682391
200,56,6.06558856989345,5.86118636337443,5.9372153193793,3.96265566220997,3.91403174771097,3.93236760795366,2.39681427125386,2.34683965562876,2.36558255554278
200,57,14.302084264045,14.1236281290315,14.1935835366279,2.28977093543599,2.28138213506769,2.28468835611262,1.97376944747841,1.96411903306719,1.96791964912661
200,58,10.1980838346747,10.029648746603,10.0871266021869,3.1641037162306,3.14961083241727,3.15459585262149,2.41485870759536,2.3969093368515,2.40307164364972
